,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
185,4,4,1,4,2,8,3,1,6,4,5,7,0,3,0,4,8,0,0,2,3,2,5,3,5,0,19,15
186,3,0,1,1,2,0,0,4,5,4,5,1,0,0,3,2,2,0,0,2,3,2,5,3,5,0,13,46
187,2,2,1,5,4,0,3,5,7,2,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,10,11,45
188,5,1,1,1,2,0,3,5,6,6,5,7,0,3,3,2,8,1,1,2,1,1,4,2,5,1,18,32
189,1,1,1,4,1,9,3,5,2,4,5,2,0,0,3,2,1,1,0,2,3,2,5,3,5,10,19,33
190,6,2,1,4,4,14,3,1,7,6,5,7,0,0,3,2,8,1,0,2,0,0,1,2,5,1,16,0
191,5,2,1,2,0,10,3,0,4,1,5,0,0,3,0,2,8,1,0,2,1,1,3,2,5,16,22,5
192,2,4,0,4,0,9,3,3,12,6,5,1,0,0,0,2,8,2,0,3,3,2,5,3,5,1,21,14
193,0,1,1,2,1,4,3,5,7,2,5,1,0,0,3,2,2,1,2,4,1,0,3,2,5,10,17,0
194,2,1,1,0,2,0,3,5,6,6,5,7,0,0,0,2,2,1,1,3,2,0,3,2,1,10,20,5
195,0,1,1,4,2,0,3,1,7,2,6,7,0,0,3,2,8,1,0,2,0,0,0,2,5,13,16,0
196,3,2,1,4,2,7,3,2,6,4,5,1,0,3,0,2,2,1,5,2,0,1,1,2,5,0,20,30
197,1,0,1,4,4,0,3,5,6,2,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,0,8,28
198,5,0,1,4,0,4,3,5,4,4,5,0,0,0,3,2,1,1,0,2,2,0,4,0,6,3,13,30
199,4,1,1,4,0,7,3,5,2,3,5,7,0,3,0,0,8,1,0,2,0,0,0,2,5,3,20,41
200,6,0,1,4,4,10,3,0,6,2,5,1,0,0,3,2,8,1,0,7,3,2,5,3,5,5,8,10
201,3,0,1,4,0,5,3,5,7,0,5,7,0,0,3,2,2,1,0,2,0,1,1,2,5,4,11,5
202,0,2,1,1,2,5,3,5,7,4,5,7,0,3,0,0,8,1,1,2,3,2,5,3,5,16,20,0
203,4,4,1,4,3,0,3,5,9,0,5,1,0,0,3,2,2,1,0,7,3,2,5,3,5,3,18,0
204,3,0,1,4,3,0,3,3,7,4,5,3,0,0,3,2,1,1,0,3,0,1,0,2,5,4,19,0
205,5,1,1,4,2,12,0,3,12,2,5,0,0,0,3,2,8,1,0,2,0,1,0,2,5,0,7,12
206,0,1,1,1,3,7,3,5,6,4,5,7,0,0,3,2,2,1,0,7,3,2,5,3,5,10,6,16
207,5,1,1,1,2,0,3,5,7,2,5,1,0,0,1,2,8,1,0,7,2,0,3,1,5,0,19,35
208,4,0,1,4,3,5,3,2,9,1,5,7,0,0,0,2,8,2,1,2,0,1,0,2,5,9,20,20
209,6,0,1,2,2,3,3,5,6,1,5,1,3,0,3,2,8,1,1,2,3,2,5,3,5,1,16,50
210,0,1,1,4,2,7,3,5,9,2,5,7,0,0,0,2,2,0,0,2,0,1,0,2,5,3,17,0
211,5,0,2,2,1,0,3,3,6,4,5,2,0,3,2,4,8,1,0,2,0,1,0,2,5,0,20,15
